Column1,DateTime,Default GPS,VaneSize,Depth,ShearStrenght,Result,TSF,Comments,Attachments,MachineID,Operator,Instrument,CorrectionFactor,Created,Title,Manual GPS,Modified
Amrun,27/07/2024 12:40,"-12.95838525, 141.62316454",20x40,20,26,26,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 12:41,VS,,27/07/2024 12:41
Amrun,27/07/2024 12:23,"-12.95927926, 141.62313386",20x40,80,14,14,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 12:23,VS,,27/07/2024 12:23
Amrun,27/07/2024 12:22,"-12.95927926, 141.62313386",20x40,50,22,22,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 12:23,VS,,27/07/2024 12:23
Amrun,27/07/2024 12:21,"-12.95927926, 141.62313386",20x40,20,18,18,South Cell,,0,MM43,Joe Johanson,H-60,1,27/07/2024 12:22,VS,,27/07/2024 12:22
Amrun,26/07/2024 10:54,"-12.96263113, 141.63983257",20x40,20,32,32,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 10:54,VS,,26/07/2024 10:54
Amrun,26/07/2024 10:54,"-12.96263113, 141.63983257",20x40,50,60,60,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 10:54,VS,,26/07/2024 10:54
Amrun,26/07/2024 10:54,"-12.96263113, 141.63983257",20x40,80,140,140,South Cell,Could not penetrate ,0,MM43,Joe Johanson,H-60,1,26/07/2024 10:55,VS,,26/07/2024 10:55
Amrun,26/07/2024 9:39,"-12.96101528, 141.64005333",20x40,20,20,20,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 9:39,VS,,26/07/2024 9:39
Amrun,26/07/2024 9:39,"-12.96101528, 141.64005333",20x40,50,20,20,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 9:39,VS,,26/07/2024 9:39
Amrun,26/07/2024 9:39,"-12.96101528, 141.64005333",20x40,80,60,60,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 9:40,VS,,26/07/2024 9:40
Amrun,26/07/2024 9:38,"-12.94876191, 141.63614261",20x40,20,20,20,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 9:38,VS,,26/07/2024 9:38
Amrun,26/07/2024 9:14,"-12.95967181, 141.63983448",20x40,20,0,0,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 9:14,VS,,26/07/2024 9:14
Amrun,26/07/2024 9:14,"-12.95967181, 141.63983448",20x40,50,2,2,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 9:14,VS,,26/07/2024 9:14
Amrun,26/07/2024 9:14,"-12.95967181, 141.63983448",20x40,80,12,12,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 9:15,VS,,26/07/2024 9:15
Amrun,26/07/2024 8:14,"-12.95633152, 141.6381664",20x40,50,2,2,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 8:14,VS,,26/07/2024 8:14
Amrun,26/07/2024 8:14,"-12.95633152, 141.6381664",20x40,80,8,8,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 8:14,VS,,26/07/2024 8:14
Amrun,26/07/2024 8:13,"-12.95633152, 141.6381664",20x40,20,0,0,South Cell,,0,MM43,Joe Johanson,H-60,1,26/07/2024 8:14,VS,,26/07/2024 8:14
Amrun,25/07/2024 14:10,"-12.9563209, 141.63937803",20x40,20,2,2,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 14:10,VS,,25/07/2024 14:10
Amrun,25/07/2024 14:10,"-12.9563209, 141.63937803",20x40,50,6,6,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 14:10,VS,,25/07/2024 14:10
Amrun,25/07/2024 14:10,"-12.9563209, 141.63937803",20x40,80,14,14,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 14:11,VS,,25/07/2024 14:11
Amrun,25/07/2024 13:26,"-12.95647607, 141.63703803",20x40,50,2,2,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 13:26,VS,,25/07/2024 13:26
Amrun,25/07/2024 13:26,"-12.95647607, 141.63703803",20x40,80,10,10,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 13:27,VS,,25/07/2024 13:27
Amrun,25/07/2024 13:25,"-12.95647607, 141.63703803",20x40,20,0,0,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 13:26,VS,,25/07/2024 13:26
Amrun,25/07/2024 12:16,"-12.95662845, 141.63577671",20x40,50,8,8,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 12:16,VS,,25/07/2024 12:16
Amrun,25/07/2024 12:16,"-12.95663842, 141.63579618",20x40,80,10,10,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 12:17,VS,,25/07/2024 12:17
Amrun,25/07/2024 12:15,"-12.95662558, 141.63579096",20x40,20,2,2,South Cell,,0,MM43,Joe Johanson,H-60,1,25/07/2024 12:16,VS,,25/07/2024 12:16
Amrun,24/07/2024 11:27,"-12.9571542, 141.62611394",20x40,50,18,18,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 11:27,VS,,24/07/2024 11:27
Amrun,24/07/2024 11:27,"-12.9571542, 141.62611394",20x40,80,140,140,South Cell,Could not penetrate.,0,MM43,Joe Johanson,H-60,1,24/07/2024 11:28,VS,,24/07/2024 11:28
Amrun,24/07/2024 11:26,"-12.9571357, 141.62613667",20x40,20,32,32,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 11:27,VS,,24/07/2024 11:27
Amrun,24/07/2024 10:42,"-12.95708328, 141.62735555",20x40,50,36,36,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 10:42,VS,,24/07/2024 10:42
Amrun,24/07/2024 10:42,"-12.95708328, 141.62735555",20x40,80,68,68,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 10:42,VS,,24/07/2024 10:42
Amrun,24/07/2024 10:41,"-12.95708328, 141.62735555",20x40,20,14,14,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 10:42,VS,,24/07/2024 10:42
Amrun,24/07/2024 10:13,"-12.95727786, 141.6251884",20x40,80,80,80,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 10:13,VS,,24/07/2024 10:13
Amrun,24/07/2024 10:12,"-12.95727786, 141.6251884",20x40,20,22,22,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 10:12,VS,,24/07/2024 10:12
Amrun,24/07/2024 10:12,"-12.95727786, 141.6251884",20x40,50,50,50,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 10:13,VS,,24/07/2024 10:13
Amrun,24/07/2024 9:41,"-12.95727164, 141.62392785",20x40,50,26,26,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 9:41,VS,,24/07/2024 9:41
Amrun,24/07/2024 9:41,"-12.95727164, 141.62392785",20x40,80,26,26,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 9:42,VS,,24/07/2024 9:42
Amrun,24/07/2024 9:40,"-12.95727164, 141.62392785",20x40,20,10,10,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 9:41,VS,,24/07/2024 9:41
Amrun,24/07/2024 9:08,"-12.95852888, 141.62331635",20x40,50,42,42,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 9:08,VS,,24/07/2024 9:08
Amrun,24/07/2024 9:08,"-12.95852144, 141.62331568",20x40,80,16,16,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 9:08,VS,,24/07/2024 9:08
Amrun,24/07/2024 9:07,"-12.95852095, 141.62329716",20x40,20,26,26,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 9:08,VS,,24/07/2024 9:08
Amrun,24/07/2024 8:30,"-12.95800111, 141.62350155",20x40,50,18,18,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 8:30,VS,,24/07/2024 8:30
Amrun,24/07/2024 8:30,"-12.95800111, 141.62350155",20x40,80,10,10,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 8:31,VS,,24/07/2024 8:31
Amrun,24/07/2024 8:29,"-12.95800111, 141.62350155",20x40,20,14,14,South Cell,,0,MM43,Joe Johanson,H-60,1,24/07/2024 8:30,VS,,24/07/2024 8:30
Amrun,30/06/2024 14:59,"15.70506° S, 142.97070° E",20x40,80,64,64,South Cell,,0,MM43,Joe Johanson,H-60,1,30/06/2024 15:00,VS,,30/06/2024 15:00
Amrun,30/06/2024 14:58,"15.70506° S, 142.97070° E",20x40,50,8,8,South Cell,,0,MM43,Joe Johanson,H-60,1,30/06/2024 14:59,VS,,30/06/2024 14:59
Amrun,30/06/2024 14:57,"15.70506° S, 142.97070° E",20x40,20,4,4,South Cell,,0,MM43,Joe Johanson,H-60,1,30/06/2024 14:58,VS,,30/06/2024 14:58
Amrun,29/06/2024 14:50,"12.97324° S, 141.63630° E",20x40,50,8,8,South Cell,Back left,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:50,VS,,29/06/2024 14:50
Amrun,29/06/2024 14:50,"12.97324° S, 141.63630° E",20x40,80,16,16,South Cell,Back left ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:50,VS,,29/06/2024 14:50
