UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Mud Condition,Predicted Mud Condition
2025-01-16 15:52:02,-33.218262,116.064682,Unknown,0.10523900573671274
2025-01-16 15:50:22,-33.218414,116.065224,Unknown,-0.8689941259513927
2025-01-16 15:48:42,-33.218407,116.06591,Unknown,-1.3309913183891018
2025-01-16 15:47:02,-33.21814,116.066422,Unknown,-1.0597394880471205
2025-01-16 15:45:22,-33.217804,116.066986,Unknown,0.11960439899315034
2025-01-16 15:43:42,-33.21759,116.067375,Unknown,-0.25002174490069873
2025-01-16 15:42:02,-33.217247,116.067947,Unknown,0.07784128624888909
2025-01-16 15:40:22,-33.216873,116.068558,Unknown,0.8845895160694799
2025-01-16 15:38:42,-33.216557,116.069077,Unknown,0.9393896766696666
2025-01-16 15:32:02,-33.217072,116.068222,Unknown,2.3159741331055965
2025-01-16 15:30:22,-33.217556,116.067406,Unknown,0.8541864276348385
2025-01-16 15:25:22,-33.217918,116.066689,Unknown,0.25669724483202216
2025-01-16 15:23:42,-33.217365,116.067612,Good Run (50%),1.5368888698819303
2025-01-16 15:22:02,-33.216892,116.06842,Unknown,1.2415996278304184
2025-01-16 15:20:22,-33.216385,116.069275,Good Run (50%),1.3927109129553876
2025-01-16 15:18:42,-33.216221,116.069565,Unknown,0.46521162752267364
2025-01-16 15:17:02,-33.216255,116.069458,Water/Loose (10%),0.28692091143570453
2025-01-16 15:15:22,-33.216366,116.069298,Unknown,0.8899086679025348
2025-01-16 15:13:42,-33.216057,116.069565,Unknown,0.8545930970269833
2025-01-16 15:12:02,-33.216248,116.069366,Good Run (50%),1.257575264405871
2025-01-16 15:08:42,-33.216564,116.06897,Unknown,0.8527959720687281
2025-01-16 15:07:02,-33.215965,116.06958,Unknown,-0.6084554842514867
2025-01-16 15:05:22,-33.216579,116.068939,Unknown,1.0684268493418114
2025-01-16 15:03:42,-33.216255,116.069191,Unknown,1.1126583446492893
2025-01-16 15:02:02,-33.215969,116.069489,Unknown,0.8907995501626043
2025-01-16 15:00:22,-33.21645,116.068985,Unknown,-0.2720504038478433
2025-01-16 14:58:42,-33.216755,116.068596,Unknown,1.174373559753883
2025-01-16 14:57:02,-33.216068,116.069321,Unknown,0.3194034114053954
2025-01-16 14:52:02,-33.216251,116.069107,Water/Loose (10%),-0.02527764645875563
2025-01-16 14:50:22,-33.216839,116.068512,Water/Loose (10%),0.6506036424044532
2025-01-16 14:48:42,-33.21669,116.068581,Unknown,0.9568126761337821
